ticket_id,requester_email,account_id,subject,category,priority,status,created_at
ticket_0001_00,finance@customer-1.example,acct_0001,How to configure alerts,configuration,normal,open,2026-08-04T01:00:00+00:00
ticket_0002_00,finance@customer-2.example,acct_0002,How to configure alerts,configuration,normal,open,2026-08-04T02:00:00+00:00
ticket_0003_00,finance@customer-3.example,acct_0003,How to configure alerts,configuration,normal,open,2026-08-04T03:00:00+00:00
ticket_0004_00,finance@customer-4.example,acct_0004,How to configure alerts,configuration,normal,open,2026-08-04T04:00:00+00:00
ticket_0005_00,finance@customer-5.example,acct_0005,How to configure alerts,configuration,normal,open,2026-08-04T05:00:00+00:00
ticket_0006_00,finance@customer-6.example,acct_0006,How to configure alerts,configuration,normal,open,2026-08-04T06:00:00+00:00
ticket_0007_00,finance@customer-7.example,acct_0007,How to configure alerts,configuration,normal,open,2026-08-04T07:00:00+00:00
ticket_0008_00,finance@customer-8.example,acct_0008,How to configure alerts,configuration,normal,open,2026-08-04T08:00:00+00:00
ticket_0009_00,finance@customer-9.example,acct_0009,How to configure alerts,configuration,normal,open,2026-08-04T09:00:00+00:00
ticket_0010_00,finance@customer-10.example,acct_0010,How to configure alerts,configuration,normal,open,2026-08-04T10:00:00+00:00
ticket_0011_00,finance@customer-11.example,acct_0011,How to configure alerts,configuration,normal,open,2026-08-04T11:00:00+00:00
ticket_0012_00,finance@customer-12.example,acct_0012,Bulk export fails,bulk_export,high,open,2026-08-04T00:00:00+00:00
ticket_0012_01,finance@customer-12.example,acct_0012,Bulk export fails,bulk_export,high,solved,2026-08-05T00:00:00+00:00
ticket_0012_02,finance@customer-12.example,acct_0012,Bulk export fails,bulk_export,high,open,2026-08-06T00:00:00+00:00
ticket_0012_03,finance@customer-12.example,acct_0012,Bulk export fails,bulk_export,high,solved,2026-08-07T00:00:00+00:00
ticket_0012_04,finance@customer-12.example,acct_0012,Bulk export fails,bulk_export,high,open,2026-08-08T00:00:00+00:00
